,,"TABLE 12: HOUSEHOLDS, POPULATION AND POPULATION DENSITY.",,,,,,,,,

,,,,,,,,,,,

,,AREA,,HOUSEHOLD     *,POPULATION,,,AREA IN SQ. KM.,AVERAGE HOUSE-HOLD SIZE,SEX RATIO,POPULATION DENSITY

,,,,,TOTAL,MALE,FEMALE,,,,

,,,,,,,,,,,

1,1,NEPAL,,"5,427,302","26,494,504","12,849,041","13,645,463","147,181",4.88,94.16,180.01

,,,,,,,,,,,

,,URBAN/RURAL,,,,,,,,,

6,22,,DOLAKHA,"45,688","186,557","87,003","99,554","2,191",4.08,87.39,85.15

6,23,,SINDHUPALCHOK,"66,688","287,798","138,351","149,447","2,542",4.32,92.58,113.22

6,24,,KAVREPALANCHOK,"80,720","381,937","182,936","199,001","1,396",4.73,91.93,273.59

6,25,,LALITPUR,"109,797","468,132","238,082","230,050",385,4.26,103.49,"1,215.93"

6,26,,BHAKTAPUR,"68,636","304,651","154,884","149,767",119,4.44,103.42,"2,560.09"

6,27,,KATHMANDU,"436,344","1,744,240","913,001","831,239",395,4.00,109.84,"4,415.80"

6,28,,NUWAKOT,"59,215","277,471","132,787","144,684","1,121",4.69,91.78,247.52

6,29,,RASUWA,"9,778","43,300","21,475","21,825","1,544",4.43,98.40,28.04

6,30,,DHADING,"73,851","336,067","157,834","178,233","1,926",4.55,88.55,174.49

6,31,,MAKWANPUR,"86,127","420,477","206,684","213,793","2,426",4.88,96.67,173.32

6,32,,RAUTAHAT,"106,668","686,722","351,079","335,643","1,126",6.44,104.60,609.88

6,33,,BARA,"108,635","687,708","351,244","336,464","1,190",6.33,104.39,577.91

6,34,,PARSA,"95,536","601,017","312,358","288,659","1,353",6.29,108.21,444.21

6,35,,CHITAWAN,"132,462","579,984","279,087","300,897","2,218",4.38,92.75,261.49

6,36,,GORKHA,"66,506","271,061","121,041","150,020","3,610",4.08,80.68,75.09

6,37,,LAMJUNG,"42,079","167,724","75,913","91,811","1,692",3.99,82.68,99.13

6,38,,TANAHU,"78,309","323,288","143,410","179,878","1,546",4.13,79.73,209.11

6,39,,SYANGJA,"68,881","289,148","125,833","163,315","1,164",4.20,77.05,248.41

6,40,,KASKI,"125,673","492,098","236,385","255,713","2,017",3.92,92.44,243.98

6,41,,MANANG,"1,480","6,538","3,661","2,877","2,246",4.42,127.25,2.91

6,42,,MUSTANG,"3,354","13,452","7,093","6,359","3,573",4.01,111.54,3.76

6,43,,MYAGDI,"27,762","113,641","51,395","62,246","2,297",4.09,82.57,49.47

6,44,,PARBAT,"35,719","146,590","65,301","81,289",494,4.10,80.33,296.74

6,45,,BAGLUNG,"61,522","268,613","117,997","150,616","1,784",4.37,78.34,150.57

6,46,,GULMI,"64,921","280,160","120,995","159,165","1,149",4.32,76.02,243.83

6,47,,PALPA,"59,291","261,180","115,840","145,340","1,373",4.41,79.70,190.23

6,48,,NAWALPARASI,"128,793","643,508","303,675","339,833","2,162",5.00,89.36,297.64

6,49,,RUPANDEHI,"163,916","880,196","432,193","448,003","1,360",5.37,96.47,647.20

6,50,,KAPILBASTU,"91,321","571,936","285,599","286,337","1,738",6.26,99.74,329.08

6,51,,ARGHAKHANCHI,"46,835","197,632","86,266","111,366","1,193",4.22,77.46,165.66

6,52,,PYUTHAN,"47,730","228,102","100,053","128,049","1,309",4.78,78.14,174.26

6,53,,ROLPA,"43,757","224,506","103,100","121,406","1,879",5.13,84.92,119.48

6,54,,RUKUM,"41,856","208,567","99,159","109,408","2,877",4.98,90.63,72.49

6,55,,SALYAN,"46,556","242,444","115,969","126,475","1,462",5.21,91.69,165.83

6,56,,DANG,"116,415","552,583","261,059","291,524","2,955",4.75,89.55,187.00

6,57,,BANKE,"94,773","491,313","244,255","247,058","2,337",5.18,98.87,210.23

6,58,,BARDIYA,"83,176","426,576","205,080","221,496","2,025",5.13,92.59,210.65

6,59,,SURKHET,"72,863","350,804","169,421","181,383","2,451",4.81,93.41,143.13

6,60,,DAILEKH,"48,919","261,770","126,990","134,780","1,502",5.35,94.22,174.28

6,61,,JAJARKOT,"30,472","171,304","85,537","85,767","2,230",5.62,99.73,76.82

6,62,,DOLPA,"7,488","36,700","18,238","18,462","7,889",4.90,98.79,4.65

6,63,,JUMLA,"19,303","108,921","54,898","54,023","2,531",5.64,101.62,43.03

6,64,,KALIKOT,"23,013","136,948","68,833","68,115","1,741",5.95,101.05,78.66

6,65,,MUGU,"9,619","55,286","28,025","27,261","3,535",5.75,102.80,15.64

6,66,,HUMLA,"9,479","50,858","25,833","25,025","5,655",5.37,103.23,8.99

6,67,,BAJURA,"24,908","134,912","65,806","69,106","2,188",5.42,95.22,61.66

6,68,,BAJHANG,"33,786","195,159","92,794","102,365","3,422",5.78,90.65,57.03

6,69,,ACHHAM,"48,351","257,477","120,008","137,469","1,680",5.33,87.30,153.26

6,70,,DOTI,"41,440","211,746","97,252","114,494","2,025",5.11,84.94,104.57

6,71,,KAILALI,"142,480","775,709","378,417","397,292","3,235",5.44,95.25,239.79

6,72,,KANCHANPUR,"82,152","451,248","216,042","235,206","1,610",5.49,91.85,280.28

6,73,,DADELDHURA,"27,045","142,094","66,556","75,538","1,538",5.25,88.11,92.39

6,74,,BAITADI,"45,191","250,898","117,407","133,491","1,519",5.55,87.95,165.17

6,75,,DARCHULA,"24,618","133,274","63,605","69,669","2,322",5.41,91.30,57.40

,,,,,,,,,,,

,,,NOTE: ,,,,,,,,

,,,          *   INCLUDES INSTITUTIONAL HOUSEHOLDS  ,,,,,,,,

