DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_RATIO,POTATO_AREA,POTATO_PRODUCTION,POTATO_RATIO,SUGARCANE_AREA,SUGARCANE_PRODUCTION,SUGARCANE_RATIO,TOTAL POPULATION(2001),TOTAL AREA(KM2),TOTAL ROAD LENGTH(KM.),POPULATION INFLUENCED PER KM. ROAD(NOS.) ,ROAD DENSITY (KM/100 KM2),OVERALL TOTAL,IRRIGABLE TOTAL,IRRIGATED TOTAL (HA)
MYAGDI,323,302,0.93,1580,18989,12.02,21,375,17.86,114447,2297,26,4402,1,15740,3685,1742
LAMJUNG,716,680,0.95,1836,20060,10.93,30,900,30,177149,1692,57.87,3061,3,23848,11937,4943
SUNSARI,8487,6762,0.8,2510,33860,13.49,3300,185130,56.1,625633,1257,191.03,3275,15,71757,70629,66072
BAITADI,335,250,0.75,680,16441,24.18,300,11850,39.5,234418,1519,181.5,1292,12,25543,7450,2900
RUKUM,770,643,0.84,1655,20431,12.35,5,100,20,188438,2877,52.4,3596,2,23592,4170,2098
MUGU,26,16,0.62,610,6110,10.02,0,0,0,43937,3535,0,0,0,9616,2030,990
SINDHULI,5492,4904,0.89,1750,17500,10,11,490,44.55,279821,2491,89,3144,4,34333,20652,10898
RUPANDEHI,7225,7096,0.98,3865,53475,13.84,500,25000,50,708419,1360,152.44,4647,11,88416,87979,81158
DAILEKH,804,744,0.93,1600,20320,12.7,25,750,30,225201,1502,172,1309,11,28373,7075,2908
MAHOTTARI,3115,2676,0.86,3550,41180,11.6,6500,260250,40.04,553481,1002,185.29,2987,18,60649,60633,37577
SURKHET,4071,3375,0.83,1177,22502,19.12,35,725,20.71,288527,2451,231.14,1248,9,31231,19275,10893
KHOTANG,2201,1988,0.9,6000,70750,11.79,13,227,17.46,231385,1591,71,0,4,37950,8859,4886
PALPA,917,713,0.78,720,9560,13.28,50,1500,30,268558,1373,128.59,2088,9,30354,8857,4026
MANANG,0,0,0,745,6894,9.25,0,0,0,9587,2246,18,0,1,718,121,353
RAUTAHAT,10450,8648,0.83,2420,44286,18.3,9050,362000,40,545132,1126,87.83,6207,8,56390,56141,57653
JUMLA,85,68,0.8,2615,26150,10,0,0,0,89427,2531,36,2484,1,12642,4765,1615
DADELDHURA,507,395,0.78,800,11750,14.69,0,0,0,126162,1538,141.08,894,9,16032,7266,2764
UDAYAPUR,5157,3565,0.69,862,10792,12.52,0,0,0,287689,2063,179.86,1600,9,30773,18408,12271
SOLUKHUMBU,177,108,0.61,10143,153723,15.16,0,0,0,107686,3312,0,0,0,17734,2038,3882
BAGLUNG,862,732,0.85,1397,18302,13.1,3,125,41.67,268937,1784,102.13,2633,6,26522,7780,1938
SANKHUWASAVA,635,540,0.85,3147,39228,12.47,70,2100,30,159203,3480,76.7,2076,2,25972,5170,6337
MUSTANG,30,25,0.83,250,3200,12.8,0,0,0,14981,3573,43,0,1,4221,159,1396
